sep=,
regatta_code,event_nr,event_code,event_name,event_remarks,round_type_code,round_type_name,distance,race_start_time,race_sequence,entry_name,entry_reference,stroke_name,position,result,status
sdcc,089,"WHS JV 8","Womens High School Junior Varsity 8","ERG ZLAC Rowing Club Cup",2000m,"2000 meter",2000m,10:20,7,"San Diego Rowing Club",6832/entries/54,"Moehringer, Tzipporah",1,08:25.8,official
sdcc,089,"WHS JV 8","Womens High School Junior Varsity 8","ERG ZLAC Rowing Club Cup",2000m,"2000 meter",2000m,10:20,7,"Roland Park Country School",6832/entries/72,"Milstone, Lily",2,09:32.1,official
sdcc,003,"WColl Varsity 8+","Womens Collegiate Varsity 8+",WATER,"1500m outbound","1500m outbound leg",1500m,01:00,,"University of San Diego",6832/entries/34,"Sylla, Kadee",1,05:11.2,official
sdcc,003,"WColl Varsity 8+","Womens Collegiate Varsity 8+",WATER,"1500m outbound","1500m outbound leg",1500m,01:00,,"San Diego State University",6832/entries/21,,2,05:12.8,official
sdcc,014,"MColl 2V 8+","Mens Collegiate 2V 8+",WATER,"1500m outbound","1500m outbound leg",1500m,01:00,,"University of San Diego",6832/entries/30,"Crabtree, Jack",1,04:40.1,official
sdcc,019,"WHS JV 4x","Womens High School Junior Varsity 4x",WATER,"1250m return","1250m return leg",1250m,01:00,,"Karachi Boat Club A",6832/entries/202,"Ahmed, Shazray",1,05:49.5,official
sdcc,019,"WHS JV 4x","Womens High School Junior Varsity 4x",WATER,"1250m return","1250m return leg",1250m,01:00,,"Karachi Boat Club B",6832/entries/260,"Fahd, Maha",2,06:14.0,official
sdcc,019,"WHS JV 4x","Womens High School Junior Varsity 4x",WATER,"1250m return","1250m return leg",1250m,01:00,,"Community Rowing of San Diego",6832/entries/226,"Cardenas, Valeria",3,06:23.8,official
sdcc,113,"MMD 8","Mens Masters D (50-54) 8","ERG Founders Trophy",2000m,"2000 meter",2000m,11:00,9,"Unaffiliated (CAN)",6832/entries/47,"Forgeron, Mike",1,06:35.3,official
sdcc,113,"MMD 8","Mens Masters D (50-54) 8","ERG Founders Trophy",2000m,"2000 meter",2000m,11:00,9,"Marin Rowing Association",6832/entries/195,"Paradis, Paul",2,06:54.5,official
sdcc,113,"MMD 8","Mens Masters D (50-54) 8","ERG Founders Trophy",2000m,"2000 meter",2000m,12:00,12,"North Dakota Indoor Rowing Team",6832/entries/138,"Kusurin, Ante",,,"did not start"
sdcc,113,"MMD 8","Mens Masters D (50-54) 8","ERG Founders Trophy",2000m,"2000 meter",2000m,11:00,9,"North Dakota Indoor Rowing Team",6832/entries/138,"Kusurin, Ante",,,"did not start"
sdcc,024,"WHS Varsity 8+","Womens High School Varsity 8+",WATER,"1250m outbound","1250m outbound leg",1250m,01:00,,"Community Rowing of San Diego",6832/entries/224,"Ewart, Chloe",1,04:19.5,official
sdcc,024,"WHS Varsity 8+","Womens High School Varsity 8+",WATER,"1250m outbound","1250m outbound leg",1250m,01:00,,"New Trier High School Rowing A",6832/entries/263,"Burne, Sophie",2,04:44.0,official
