# ************************************										
# Regatta Timing Export File										
# Generated on 03/25/22										
# Rules: 										
# 	All Data Copyright by Regatta Timing (C) 2000-2022									
# 	Unless otherwise noted									
# ************************************										
bowNumber	eventCode	eventName	entryName	avgAge	strokeName	orgName	officialTime	resultStatus	eventPercent	top5Percent
6	1	Womens Masters A 8+ (27-35) Duke Robinson Memorial Cup	Long Beach/San Diego	29	"Palmer, K."	Unaffiliated	07:39.6	OK	0	TRUE
4	1	Womens Masters A 8+ (27-35) Duke Robinson Memorial Cup	Austin	28	"Reinkort, M."	austin	07:49.8	OK	2.21	TRUE
5	1	Womens Masters A 8+ (27-35) Duke Robinson Memorial Cup	BIAC	30		biac	07:51.5	OK	2.58	TRUE
1	1	Womens Masters A 8+ (27-35) Duke Robinson Memorial Cup	East Bay	44	"Prada, F."	east bay	07:58.7	OK	4.15	TRUE
2	1	Womens Masters A 8+ (27-35) Duke Robinson Memorial Cup	San Diego RC	32	"Ewing, E."	san diego rc	08:25.7	OK	10.02	FALSE
3	1	Womens Masters A 8+ (27-35) Duke Robinson Memorial Cup	Long Beach	40	"Jensen, R."	long beach	08:59.8	OK	17.44	FALSE
1	2	Mens Masters A 8+ (27-35) Jack Buchanan Memorial Trophy	Club Nautico De San Juan	32		club nautico de san juan	06:30.9	OK	0	TRUE
4	2	Mens Masters A 8+ (27-35) Jack Buchanan Memorial Trophy	San Diego	29	"Alparicio, B."	san diego	06:34.2	OK	0.84	TRUE
3	2	Mens Masters A 8+ (27-35) Jack Buchanan Memorial Trophy	Riverside A	27		riverside	06:36.5	OK	1.41	TRUE
8	2	Mens Masters A 8+ (27-35) Jack Buchanan Memorial Trophy	Riverside B	27		riverside	06:48.9	OK	4.59	TRUE
6	2	Mens Masters A 8+ (27-35) Jack Buchanan Memorial Trophy	Austin	30	"Womack, C."	austin	06:52.8	OK	5.6	FALSE
2	2	Mens Masters A 8+ (27-35) Jack Buchanan Memorial Trophy	Potomac	27	"Merchant, W."	potomac	07:01.5	OK	7.82	FALSE
7	2	Mens Masters A 8+ (27-35) Jack Buchanan Memorial Trophy	BIAC	28		biac	07:08.1	OK	9.51	FALSE
5	2	Mens Masters A 8+ (27-35) Jack Buchanan Memorial Trophy	Los Angeles	32		los angeles	07:10.9	OK	10.23	FALSE
3	3	Womens Masters B 8+ (36-42) Fred and Patricia Rickon Memorial Cup	Texas RC	40		texas rowing center	07:45.9	OK	0	TRUE
4	3	Womens Masters B 8+ (36-42) Fred and Patricia Rickon Memorial Cup	Lake Merritt	41		lake merritt	08:05.6	OK	4.23	TRUE
2	3	Womens Masters B 8+ (36-42) Fred and Patricia Rickon Memorial Cup	Lake Union	40	"Berner-Hays, A."	lake union	08:13.5	OK	5.93	FALSE
5	3	Womens Masters B 8+ (36-42) Fred and Patricia Rickon Memorial Cup	Vancouver	41	"Riley, P."	vancouver	08:15.7	OK	6.4	FALSE
1	3	Womens Masters B 8+ (36-42) Fred and Patricia Rickon Memorial Cup	ZLAC	38		zlac	08:21.1	OK	7.56	FALSE
1	4	Mens Masters B 8+ (36-42) Presidents Trophy	San Diego RC	36	"Peszek, T."	san diego rc	06:38.6	OK	0	TRUE
3	4	Mens Masters B 8+ (36-42) Presidents Trophy	Long Beach	38	"Tucker, Z."	long beach	06:54.7	OK	4.06	TRUE
4	4	Mens Masters B 8+ (36-42) Presidents Trophy	Los Angeles	41		los angeles	07:07.1	OK	7.17	FALSE
2	4	Mens Masters B 8+ (36-42) Presidents Trophy	Potomac	42	"DeLo, C."	potomac	07:08.8	OK	7.6	FALSE
5	4	Mens Masters B 8+ (36-42) Presidents Trophy	Lake Merritt	38		lake merritt	07:14.9	OK	9.11	FALSE
6	4	Mens Masters B 8+ (36-42) Presidents Trophy	Lake Union	36	"King, A."	lake union	07:15.6	OK	9.31	FALSE
3	5	Womens Masters C 8+ (43-49) Margi Fetter Graham Trophy	Endeavor Racing Alliance/Cambridge/Penn AC/Long Beach/Unaff(USA)/Connecticut/Radcliffe Alumni/San Diego RC	44	"O'Brien, W."	Unaffiliated	07:21.8	OK	0	TRUE
