Event,Place,Entry,Lane,Time,Margin
#1 32 Womens Masters A 8+ (27-35) Final (07:15:00) Official,1,"Long Beach/San Diego (Palmer, K.) ",6,07:39.598,
#1 32 Womens Masters A 8+ (27-35) Final (07:15:00) Official,2,"Austin (Reinkort, M.) ",4,07:49.753,10.155
#1 32 Womens Masters A 8+ (27-35) Final (07:15:00) Official,3,BIAC,5,07:51.453,11.855
#1 32 Womens Masters A 8+ (27-35) Final (07:15:00) Official,4,"East Bay (Prada, F.) ",1,07:58.671,19.073
#1 32 Womens Masters A 8+ (27-35) Final (07:15:00) Official,5,"San Diego RC (Ewing, E.) ",2,08:25.663,46.065
#1 32 Womens Masters A 8+ (27-35) Final (07:15:00) Official,6,"Long Beach (Jensen, R.) ",3,08:59.773,01:20.175
#2 5 Mens Masters A 8+ (27-35) Final  (07:23:00) Official,1,Club Nautico De San Juan,1,06:30.943,
#2 5 Mens Masters A 8+ (27-35) Final  (07:23:00) Official,2,"San Diego (Alparicio, B.) ",4,06:34.243,03.300
#2 5 Mens Masters A 8+ (27-35) Final  (07:23:00) Official,3,Riverside A,3,06:36.473,05.530
#2 5 Mens Masters A 8+ (27-35) Final  (07:23:00) Official,4,Riverside B,8,06:48.883,17.940
#2 5 Mens Masters A 8+ (27-35) Final  (07:23:00) Official,5,"Austin (Womack, C.) ",6,06:52.843,21.900
#2 5 Mens Masters A 8+ (27-35) Final  (07:23:00) Official,6,"Potomac (Merchant, W.) ",2,07:01.508,30.565
#2 5 Mens Masters A 8+ (27-35) Final  (07:23:00) Official,7,BIAC,7,07:08.106,37.163
#2 5 Mens Masters A 8+ (27-35) Final  (07:23:00) Official,8,Los Angeles,5,07:10.946,40.003
#3 35 Womens Masters B 8+ (36-42) Final (07:31:00) Official,1,Texas RC,3,07:45.901,
#3 35 Womens Masters B 8+ (36-42) Final (07:31:00) Official,2,Lake Merritt,4,08:05.626,19.725
#3 35 Womens Masters B 8+ (36-42) Final (07:31:00) Official,3,"Lake Union (Berner-Hays, A.) ",2,08:13.521,27.620
#3 35 Womens Masters B 8+ (36-42) Final (07:31:00) Official,4,"Vancouver (Riley, P.) ",5,08:15.719,29.818
#3 35 Womens Masters B 8+ (36-42) Final (07:31:00) Official,5,ZLAC,1,08:21.129,35.228
#4 8 Mens Masters B 8+ (36-42) Final (07:39:00) Official,1,"San Diego RC (Peszek, T.) ",1,06:38.556,
