Sort Order,Place,Event Type,Event,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
1,1,,Men's Cal Cup Heat A,Minnesota,06:16.70,,,,,,,,,
2,2,,Men's Cal Cup Heat A,UCSD,06:23.02,,,,,,,,,
3,3,,Men's Cal Cup Heat A,Gonzaga,06:23.19,,,,,,,,,
4,4,,Men's Cal Cup Heat A,Santa Clara,06:29.44,,,,,,,,,
5,5,,Men's Cal Cup Heat A,Loyola,06:31.47,,,,,,,,,
6,6,,Men's Cal Cup Heat A,St. Marys,06:33.05,,,,,,,,,
7,,,Men's Cal Cup Heat A,,,,,,,,,,,
8,1,,Men's Cal Cup Heat B,Orange Coast,06:16.16,,,,,,,,,
9,2,,Men's Cal Cup Heat B,SDSU,06:25.90,,,,,,,,,
10,3,,Men's Cal Cup Heat B,Texas,06:26.17,,,,,,,,,
11,4,,Men's Cal Cup Heat B,Rollins,06:32.25,,,,,,,,,
12,5,,Men's Cal Cup Heat B,USD,06:36.24,,,,,,,,,
13,6,,Men's Cal Cup Heat B,UCSB,06:44.30,,,,,,,,,
14,,,Men's Cal Cup Heat B,LB State ,Scratched,,,,,,,,,
15,,,Men's Cal Cup Heat B,,,,,,,,,,,
16,1,,Men's Cal Cup Heat C,UCI,06:20.20,,,,,,,,,
17,2,,Men's Cal Cup Heat C,Colorado,06:21.47,,,,,,,,,
18,3,,Men's Cal Cup Heat C,USC,06:21.66,,,,,,,,,
19,4,,Men's Cal Cup Heat C,Wash State,06:22.45,,,,,,,,,
20,5,,Men's Cal Cup Heat C,UCLA,06:23.25,,,,,,,,,
21,6,,Men's Cal Cup Heat C,Arizona,06:58.03,,,,,,,,,
22,,,Men's Cal Cup Heat C,,,,,,,,,,,
23,1,,Women's Cal Cup Heat A,Miami,06:56.40,,,,,,,,,
24,2,,Women's Cal Cup Heat A,Clemson,06:57.59,,,,,,,,,
25,3,,Women's Cal Cup Heat A,UC Davis,07:02.64,,,,,,,,,
26,4,,Women's Cal Cup Heat A,Sac State,07:04.72,,,,,,,,,
27,5,,Women's Cal Cup Heat A,SDSU,07:15.23,,,,,,,,,
28,6,,Women's Cal Cup Heat A,Santa Clara,07:15.85,,,,,,,,,
29,7,,Women's Cal Cup Heat A,Rollins,07:43.01,,,,,,,,,
30,,,Women's Cal Cup Heat A,,,,,,,,,,,
31,1,,Women's Cal Cup Heat B,Loyola,06:51.60,,,,,,,,,
32,2,,Women's Cal Cup Heat B,Navy,07:00.02,,,,,,,,,
33,3,,Women's Cal Cup Heat B,St. Josephs,07:00.27,,,,,,,,,
34,4,,Women's Cal Cup Heat B,K State,07:01.60,,,,,,,,,
35,5,,Women's Cal Cup Heat B,Gonzaga,07:03.24,,,,,,,,,
36,6,,Women's Cal Cup Heat B,Colgate,07:06.21,,,,,,,,,
37,7,,Women's Cal Cup Heat B,UCI,07:20.81,,,,,,,,,
38,,,Women's Cal Cup Heat B,,,,,,,,,,,
39,1,,Women's Cal Cup Heat C,UCLA,06:53.83,,,,,,,,,
40,2,,Women's Cal Cup Heat C,Louisville,06:56.88,,,,,,,,,
41,3,,Women's Cal Cup Heat C,Central Florida,06:57.70,,,,,,,,,
42,4,,Women's Cal Cup Heat C,SMU,07:02.06,,,,,,,,,
43,5,,Women's Cal Cup Heat C,USD,07:05.63,,,,,,,,,
44,6,,Women's Cal Cup Heat C,Temple,07:07.97,,,,,,,,,
45,7,,Women's Cal Cup Heat C,St. Marys,07:24.09,,,,,,,,,
46,,,Women's Cal Cup Heat C,,,,,,,,,,,
47,1,,Copley Cup Heat A,Cal,05:58.60,,,,,,,,,
48,2,,Copley Cup Heat A,Oregon State,06:00.14,,,,,,,,,
49,3,,Copley Cup Heat A,Stanford,06:04.95,,,,,,,,,
50,4,,Copley Cup Heat A,Purdue,06:05.60,,,,,,,,,
51,5,,Copley Cup Heat A,Colgate,06:14.87,,,,,,,,,
52,,,Copley Cup Heat A,,,,,,,,,,,
53,1,,Copley Cup Heat B,Washington,05:54.80,,,,,,,,,
54,2,,Copley Cup Heat B,Northeastern,05:55.99,,,,,,,,,
55,3,,Copley Cup Heat B,Temple,06:03.23,,,,,,,,,
56,4,,Copley Cup Heat B,UC Davis,06:09.70,,,,,,,,,
57,5,,Copley Cup Heat B,Sac State,06:20.31,,,,,,,,,
58,,,Copley Cup Heat B,,,,,,,,,,,
59,1,,Jessop-Whittier Cup Heat A,Tennessee,06:38.50,,,,,,,,,
60,2,,Jessop-Whittier Cup Heat A,Wash State,06:39.19,,,,,,,,,
61,3,,Jessop-Whittier Cup Heat A,USC,06:39.69,,,,,,,,,
62,3,,Jessop-Whittier Cup Heat A,Notre Dame,06:39.69,,,,,,,,,
63,4,,Jessop-Whittier Cup Heat A,Stanford,06:43.78,,,,,,,,,
64,5,,Jessop-Whittier Cup Heat A,Villanova,06:49.15,,,,,,,,,
65,6,,Jessop-Whittier Cup Heat A,Purdue,07:01.41,,,,,,,,,
