Event #,Trophy,Event,Heat,Place,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
1,,Mens Cal Cup,A,1,USC,6:08:30,,,,,,,,,
1,,Mens Cal Cup,A,2,UCSD,6:10:15,,,,,,,,,
1,,Mens Cal Cup,A,3,Gonzaga,6:12:15,,,,,,,,,
1,,Mens Cal Cup,A,4,Rollins,6:17:09,,,,,,,,,
1,,Mens Cal Cup,A,5,Santa Clara,6:23:36,,,,,,,,,
1,,Mens Cal Cup,A,6,SDSU,6:36:13,,,,,,,,,
1,,Mens Cal Cup,A,7,Chapman,7:40:41,,,,,,,,,
2,,Mens Cal Cup,B,1,Orange Coast,6:06:50,,,,,,,,,
2,,Mens Cal Cup,B,2,Loyola,6:08:99,,,,,,,,,
2,,Mens Cal Cup,B,3,Texas,6:09:91,,,,,,,,,
2,,Mens Cal Cup,B,4,Notre Dame,6:12:47,,,,,,,,,
2,,Mens Cal Cup,B,5,UC Irvine,6:12:92,,,,,,,,,
2,,Mens Cal Cup,B,6,Sonoma St,6:30:22,,,,,,,,,
2,,Mens Cal Cup,B,7,Cal Maritime,7:03:84,,,,,,,,,
3,,Mens Cal Cup,C,1,Colorado,6:02:00,,,,,,,,,
3,,Mens Cal Cup,C,2,Lehigh,6:05:71,,,,,,,,,
3,,Mens Cal Cup,C,3,Wash State,6:06:74,,,,,,,,,
3,,Mens Cal Cup,C,4,UCSB ,6:13:19,,,,,,,,,
3,,Mens Cal Cup,C,5,Sac State,6:15:75,,,,,,,,,
3,,Mens Cal Cup,C,6,USD,6:17:89,,,,,,,,,
3,,Mens Cal Cup,C,7,LB State,6:32:15,,,,,,,,,
4,,Womens Cal Cup,A,1,Miami,6:43:70,,,,,,,,,
4,,Womens Cal Cup,A,2,St Joseph's,6:45:54,,,,,,,,,
4,,Womens Cal Cup,A,3,St Mary's,6:47:77,,,,,,,,,
4,,Womens Cal Cup,A,4,Temple,6:50:48,,,,,,,,,
4,,Womens Cal Cup,A,5,USD,6:52:81,,,,,,,,,
4,,Womens Cal Cup,A,6,Colorado,7:24:11,,,,,,,,,
4,,Womens Cal Cup,A,7,Claremont,7:59:99,,,,,,,,,
5,,Womens Cal Cup,B,1,Navy,6:45:80,,,,,,,,,
5,,Womens Cal Cup,B,2,UC Davis,6:47:57,,,,,,,,,
5,,Womens Cal Cup,B,3,Bucknell,6:47:89,,,,,,,,,
5,,Womens Cal Cup,B,4,Lehigh,6:57:08,,,,,,,,,
5,,Womens Cal Cup,B,5,UCSB,6:58:28,,,,,,,,,
5,,Womens Cal Cup,B,6,Sonoma State,7:07:93,,,,,,,,,
5,,Womens Cal Cup,B,7,UC Irvine,7:08:44,,,,,,,,,
6,,Womens Cal Cup,C,1,Sac State,6:42:10,,,,,,,,,
6,,Womens Cal Cup,C,2,Kansas State,6:44:13,,,,,,,,,
6,,Womens Cal Cup,C,3,Wisconsin L/W,6:45:25,,,,,,,,,
6,,Womens Cal Cup,C,4,Villanova,6:51:92,,,,,,,,,
6,,Womens Cal Cup,C,5,LB State,6:55:47,,,,,,,,,
6,,Womens Cal Cup,C,6,Santa Clara,7:05:25,,,,,,,,,
6,,Womens Cal Cup,C,7,Orange Coast,7:13:16,,,,,,,,,
7a,,Copley Cup,Prelim A,1,Cal (A),5:41:00,,,,,,,,,
7a,,Copley Cup,Prelim A,2,Cal (B),5:48:43,,,,,,,,,
7a,,Copley Cup,Prelim A,3,Temple,5:55:73,,,,,,,,,
7a,,Copley Cup,Prelim A,4,,,,,,,,,,,
7a,,Copley Cup,Prelim A,5,,,,,,,,,,,
7a,,Copley Cup,Prelim A,6,,,,,,,,,,,
7a,,Copley Cup,Prelim A,7,,,,,,,,,,,
7b,,Copley Cup,Prelim B,1,Stanford,5:52:60,,,,,,,,,
7b,,Copley Cup,Prelim B,2,Purdue,5:54:83,,,,,,,,,
7b,,Copley Cup,Prelim B,3,UC Davis,6:01:82,,,,,,,,,
7b,,Copley Cup,Prelim B,4,,,,,,,,,,,
7b,,Copley Cup,Prelim B,5,,,,,,,,,,,
