San Diego Crew Classic 2006 Official Results,,,,,,,,,,,,,,,,,,
"Saturday April 1, 2006",,,,,,,,,,,,,,,,,,
Event,Trophy,Title,Heat,Start,1st Place,,2nd Place,,3rd Place,,4th Place,,5th Place,,6th Place,,7th Place,
1, American Specialty Health Cup,Mens Cal Cup,A,07:30:00 AM,USC, 6:08:30,UCSD, 6:10:15,Gonzaga, 6:12:15,Rollins, 6:17:09,Santa Clara, 6:23:36,SDSU, 6:36:13,Chapman, 7:40:41
2, ,Mens Cal Cup,B,07:40:00 AM,Orange Coast, 6:06:50,Loyola, 6:08:99,Texas, 6:09:91,Notre Dame, 6:12:47,UC Irvine, 6:12:92,Sonoma St, 6:30:22,Cal Maritime, 7:03:84
3, ,Mens Cal Cup,C,07:50:00 AM,Colorado, 6:02:00,Lehigh, 6:05:71,Wash State, 6:06:74,UCSB , 6:13:19,Sac State, 6:15:75,USD, 6:17:89,LB State, 6:32:15
4, Sam Adams/Mesa Distributing Cup,Womens Cal Cup,A,08:00:00 AM,Miami, 6:43:70,St Joseph's, 6:45:54,St Mary's, 6:47:77,Temple, 6:50:48,USD, 6:52:81,Colorado, 7:24:11,Claremont, 7:59:99
5, ,Womens Cal Cup,B,08:10:00 AM,Navy, 6:45:80,UC Davis, 6:47:57,Bucknell, 6:47:89,Lehigh, 6:57:08,UCSB, 6:58:28,Sonoma State, 7:07:93,UC Irvine, 7:08:44
6, ,Womens Cal Cup,C,08:20:00 AM,Sac State, 6:42:10,Kansas State, 6:44:13,Wisconsin L/W, 6:45:25,Villanova, 6:51:92,LB State, 6:55:47,Santa Clara, 7:05:25,Orange Coast, 7:13:16
7a, Copley Cup,Copley Cup,Prelim A,08:30:00 AM,Cal (A), 5:41:00,Cal (B), 5:48:43,Temple, 5:55:73,,,,,,,,
7b, ,Copley Cup,Prelim B,08:35:00 AM,Stanford, 5:52:60,Purdue, 5:54:83,UC Davis, 6:01:82,,,,,,,,
8, Jessop-Whittier Cup,Jessop-Whittier Cup,A,08:40:00 AM,Cal , 6:23:80,Wash State, 6:25:45,UCLA, 6:27:13,Northeastern, 6:32:24,Texas, 6:34:00,Purdue, 6:57:79,,
9, ,Jessop-Whittier Cup,B,08:50:00 AM,USC , 6:24:80,Notre Dame, 6:28:53,Wisconsin, 6:29:41,Stanford, 6:32:65,Loyola, 6:35:64,SDSU, 6:42:81,,
10, Derek Guelker Memorial Cup,Mens Collegiate Novice,A,09:00:00 AM,Cal (A), 6:00:70,Orange Coast, 6:06:55,UC Davis (A), 6:26:41,USC (A), 6:39:24,UCLA (A) , 7:05:49,Chapman, 7:23:81,,
11, ,Mens Collegiate Novice,B,09:15:00 AM,USD, 6:14:90,LB State, 6:17:65,USC (B), 6:18:40,Loyola, 6:49:75,Colorado, 6:53:16,,,,
12, ,Mens Collegiate Novice,C,09:30:00 AM,Stanford, 6:06:08,Oregon State, 6:10:79,UCSD, 6:14:65,SDSU, 6:28:68,Wash State, 6:45:68,Santa Clara, 6:52.66,,
13, ,Mens Collegiate Novice,D,09:40:00 AM,Texas, 6:17:30,UC Irvine, 6:26:76,Sonoma State, 6:26:88,UCLA (B), 6:30:73,UC Davis (B), 7:00:56,,,,
14, Jackie Ann Stitt Hungness Trophy,Womens JV,A,09:50:00 AM,Cal, 6:38:20,Stanford, 6:41:45,Northeastern, 6:48:86,Kansas State, 6:56:87,Sac State, 7:01:18,USD (B), 7:35:36,,
15, ,Womens JV,B,10:00:00 AM,USC, 6:42:60,Wisconsin, 6:43:60,Notre Dame, 6:45:61,USD (A), 7:02:83,Loyola, 7:08:53,,,,
16, ,Womens JV,C,10:10:00 AM,Wash State, 6:36:60,UCLA, 6:41:97,Texas, 6:50:94,SDSU, 6:53:48,St Joseph's, 7:07:43,Santa Clara, 7:22:40,,
17, Sharp Cabrillo Cup,Mens JV,A,10:20:00 AM,Cal (B), 5:56:10,Purdue, 6:17:50,UC Irvine, 6:25:93,Colorado, 6:59:29,,,,,,
18, ,Mens JV,B,10:30:00 AM,Cal (A), 5:53:90,UC Davis (A), 6:13:90,UCSD, 6:15:80,Notre Dame, 6:17:17,Orange Coast, 6:20:00,,,,
19, SeaWorld Trophy,Womens Collegiate Novice ,A,10:40:00 AM,Cal , 6:49:00,Kansas State, 6:56:49,Notre Dame, 6:59:64,Sac State, 7:09:51,Orange Coast, 7:55:69,,,,
20, ,Womens Collegiate Novice ,B,10:50:00 AM,Texas, 6:54:36,UCLA, 7:09:53,UCSD (A), 7:12:54,UC Irvine, 7:31:34,UCSB (B), 7:32:99,Chapman (A), 7:43:08,,
21, ,Womens Collegiate Novice ,C,11:00:00 AM,Oregon State, 6:59:60,SDSU, 7:19:68,USC, 7:23:65,UC Davis, 7:30:03,Sonoma State (A), 7:33:73,UCSD (B), 8:07:31,,
22, ,Womens Collegiate Novice ,D,11:10:00 AM,Stanford, 6:57:80,Wash State, 7:10:42,Loyola, 7:37:69,Colorado, 7:51:90,Sonoma State (B), 8:01:40,Chapman (B), 8:27:27,,
23, William Robinson Memorial Cup,Mens Junior,A,11:20:00 AM,Marin, 6:22:50,Capital Crew , 6:23:94,SDRC, 6:25:58,Long Beach, 6:27:85,La Salle HS (PA), 6:28:34,Tempe, 7:34:68,,
24, ,Mens Junior,B,11:30:00 AM,Los Gatos, 6:18:70,Rose City RC, 6:22:03,Serra HS, 6:24:73,River City, 6:33:60,Osnabrück, 6:42:57,Stockton, 6:48:01,,
25, ,Mens Junior,C,11:40:00 AM,St Ignatius, 6:12:90,Oakland Strokes, 6:16:19,Berkeley HS, 6:27:97,Lakeside HS, 6:31:05,Marina AC, 6:32:01,Austin, 6:52:37,,
