Year,Event #,Trophy,Event,Heat,Place,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
2018,18,,Womens Varsity High School 4x,1,1,Redwood Scullers/Stanford Rowing Center A,7:26.100,,"A - Tonsfeldt, K.",,,,,,,,,
2018,18,,Womens Varsity High School 4x,1,2,Burnaby Lake Rowing Club A,7:39.110,,"A - Douville, G.",,,,,,,,,
2018,18,,Womens Varsity High School 4x,1,3,Parati Competitive Rowing A,7:42.910,,"A - Butero, G.",,,,,,,,,
2018,18,,Womens Varsity High School 4x,1,4,Lake Casitas Rowing Association A,7:45.750,,"A - O'Connor, J.",,,,,,,,,
2018,18,,Womens Varsity High School 4x,1,5,Cathedral Catholic High School Crew A,8:00.120,,"A - Roy, S.",,,,,,,,,
2018,18,,Womens Varsity High School 4x,1,6,City Island Rowing B,8:18.010,,"B - Bruce, E.",,,,,,,,,
2018,18,,Womens Varsity High School 4x,2,1,Newport Sea Base Rowing A,7:44.700,,"A - McGill, E.",,,,,,,,,
2018,18,,Womens Varsity High School 4x,2,2,City Island Rowing A,7:46.200,,"A - McGee, C.",,,,,,,,,
2018,18,,Womens Varsity High School 4x,2,3,Los Gatos Rowing Club A,7:56.450,,"A - McCale, A.",,,,,,,,,
2018,18,,Womens Varsity High School 4x,2,4,Artemis Rowing A,7:56.900,,"A - Bernou, E.",,,,,,,,,
2018,18,,Womens Varsity High School 4x,2,5,Redwood Scullers/Stanford Rowing Center B,8:18.720,,"B - Murthy, S.",,,,,,,,,
2018,18,,Womens Varsity High School 4x,2,6,"ZLAC Rowing Club, LTD A",8:36.610,,"A - Vettese, M.",,,,,,,,,
2018,22,,Mens Varsity High School 4x,1,1,Redwood Scullers/Stanford Rowing Center A,6:50.760,,"A - Krappe, R.",,,,,,,,,
2018,22,,Mens Varsity High School 4x,1,2,New Canaan High School Crew B,6:55.750,,"B - Abbruzzese, A.",,,,,,,,,
2018,22,,Mens Varsity High School 4x,1,3,Texas Rowing Center A,7:00.990,,"A - Peers, J.",,,,,,,,,
2018,22,,Mens Varsity High School 4x,1,4,Long Beach Junior Crew A,7:02.610,,"A - Love, J.",,,,,,,,,
2018,22,,Mens Varsity High School 4x,1,5,Parati Competitive Rowing B,7:06.210,,"B - Montano, J.",,,,,,,,,
2018,22,,Mens Varsity High School 4x,1,6,Newport Sea Base Rowing A,7:22.610,,"A - Saunders, D.",,,,,,,,,
2018,22,,Mens Varsity High School 4x,2,1,New Canaan High School Crew A,6:36.400,,"A - Legenzowski, W.",,,,,,,,,
2018,22,,Mens Varsity High School 4x,2,2,Parati Competitive Rowing A,6:39.490,,"A - Dalpedri, D.",,,,,,,,,
2018,22,,Mens Varsity High School 4x,2,3,Redwood Scullers/Stanford Rowing Center B,7:03.690,,"B - An, B.",,,,,,,,,
2018,22,,Mens Varsity High School 4x,2,4,Redwood Scullers/Stanford Rowing Center C,7:09.370,,"C - Sharma, N.",,,,,,,,,
2018,22,,Mens Varsity High School 4x,2,5,Lake Casitas Rowing Association A,7:17.260,,"A - Wells, J.",,,,,,,,,
2018,22,,Mens Varsity High School 4x,2,6,Cathedral Catholic High School Crew A,7:46.120,,"A - Van de Grift, S.",,,,,,,,,
2018,21,,Womens HS Novice,1,1,Marin Rowing Association,7:25.866,,"A - Camahort, J.",,,,,,,,,
2018,21,,Womens HS Novice,1,2,Newport Aquatic Center,7:36.041,,A,,,,,,,,,
2018,21,,Womens HS Novice,1,3,Pacific Rowing Club,7:37.037,,"A - Fairchild, R.",,,,,,,,,
2018,21,,Womens HS Novice,1,4,San Diego Rowing Club,7:38.665,,"A - Gayner, S.",,,,,,,,,
2018,21,,Womens HS Novice,1,5,Long Beach Junior Crew,7:40.747,,"A - Nemnich, H.",,,,,,,,,
2018,21,,Womens HS Novice,1,6,Sammamish Rowing Association,7:58.165,,"B - Climer-Kennedy, L.",,,,,,,,,
2018,21,,Womens HS Novice,2,1,"Oakland Strokes, Inc.",7:34.972,,"A - Lewerenz, E.",,,,,,,,,
2018,21,,Womens HS Novice,2,2,Marina Aquatic Center Junior Rowing,7:39.454,,"A - McGuinness, M.",,,,,,,,,
2018,21,,Womens HS Novice,2,3,Sammamish Rowing Association,7:41.812,,"A - Culbert, M.",,,,,,,,,
2018,21,,Womens HS Novice,2,4,Capital Crew,7:43.984,,"A - Thrams, P.",,,,,,,,,
2018,21,,Womens HS Novice,2,5,Lake Las Vegas Rowing Club,8:32.884,,"A - Wirig, M.",,,,,,,,,
2018,21,,Womens HS Novice,2,6,Cathedral Catholic High School Crew,8:41.751,,"A - Kerr, S.",,,,,,,,,
2018,26,,Mens HS Novice,1,1,Newport Aquatic Center,6:45.330,,"A - Buscaglio, J.",,,,,,,,,
2018,26,,Mens HS Novice,1,2,Capital Crew,6:56.626,,"A - Gallia, L.",,,,,,,,,
2018,26,,Mens HS Novice,1,3,"Oakland Strokes, Inc.",6:59.473,,"A - Park, G.",,,,,,,,,
2018,26,,Mens HS Novice,1,4,Pacific Rowing Club,7:01.012,,"A - Yu, B.",,,,,,,,,
2018,26,,Mens HS Novice,1,5,Marina Aquatic Center Junior Rowing,7:07.002,,"A - Flynn, D.",,,,,,,,,
2018,26,,Mens HS Novice,1,6,San Diego Rowing Club,7:10.973,,"A - Kudar, J.",,,,,,,,,
2018,26,,Mens HS Novice,1,7,Lake Las Vegas Rowing Club,7:38.465,,"A - Robinson, G.",,,,,,,,,
2018,26,,Mens HS Novice,1,8,Cathedral Catholic High School Crew,8:00.055,,"A - Szepesy, D.",,,,,,,,,
2018,12,,Mens Varsity American Specialty Health Cup,1,1,Orange Coast College,6:23.730,,"O'Neil, C.",,,,,,,,,
2018,12,,Mens Varsity American Specialty Health Cup,1,2,University of California - Santa Barbara,6:28.630,,"Stewart, R.",,,,,,,,,
2018,12,,Mens Varsity American Specialty Health Cup,1,3,University of North Carolina at Chapel Hill-Men's,6:31.036,,"Simons, P.",,,,,,,,,
2018,12,,Mens Varsity American Specialty Health Cup,1,4,San Diego State - Men,6:38.584,,"Trost, R.",,,,,,,,,
2018,12,,Mens Varsity American Specialty Health Cup,1,5,Cal State Long Beach Crew,7:23.586,,"Elrashidy, E.",,,,,,,,,
2018,12,,Mens Varsity American Specialty Health Cup,2,1,Temple University Rowing A,6:16.425,,"McKinney, C.",,,,,,,,,
2018,12,,Mens Varsity American Specialty Health Cup,2,2,Gonzaga University Crew A,6:25.951,,"Lomond, T.",,,,,,,,,
2018,12,,Mens Varsity American Specialty Health Cup,2,3,"University of California, Davis Mens Crew A",6:32.095,,"Schwartz, A.",,,,,,,,,
2018,12,,Mens Varsity American Specialty Health Cup,2,4,"University of California, San Diego A",6:32.421,,"Wong, W.",,,,,,,,,
2018,12,,Mens Varsity American Specialty Health Cup,3,1,University of British Columbia,6:21.611,,"Beach, R.",,,,,,,,,
2018,12,,Mens Varsity American Specialty Health Cup,3,2,University of San Diego,6:26.040,,"Jones, S.",,,,,,,,,
2018,12,,Mens Varsity American Specialty Health Cup,3,3,Purdue Crew,6:29.038,,"McAndrews, R.",,,,,,,,,
2018,12,,Mens Varsity American Specialty Health Cup,3,4,"University of California, Los Angeles",6:36.112,,"Pardini, D.",,,,,,,,,
2018,2,,Womens Collegiate Varsity Cal Cup,1,1,San Diego State University - Women,7:07.637,,"Gasser, H.",,,,,,,,,
2018,2,,Womens Collegiate Varsity Cal Cup,1,2,Loyola Marymount University,7:12.840,,"Gaytan, M.",,,,,,,,,
2018,2,,Womens Collegiate Varsity Cal Cup,1,3,University of Victoria Rowing Club,7:17.673,,"Morstad, K.",,,,,,,,,
2018,2,,Womens Collegiate Varsity Cal Cup,1,4,University of Portland,7:20.446,,"Nicacio, V.",,,,,,,,,
2018,2,,Womens Collegiate Varsity Cal Cup,1,5,Saint Marys College of California,7:28.140,,"Heffernan, K.",,,,,,,,,
2018,2,,Womens Collegiate Varsity Cal Cup,2,1,"California State University, Sacramento (women)",7:08.199,,"Boix Noguer, E.",,,,,,,,,
2018,2,,Womens Collegiate Varsity Cal Cup,2,2,Southern Methodist University,7:10.863,,"Rigg, B.",,,,,,,,,
2018,2,,Womens Collegiate Varsity Cal Cup,2,3,Kansas State University Womens Rowing,7:16.838,,"Butrum, M.",,,,,,,,,
2018,2,,Womens Collegiate Varsity Cal Cup,2,4,University of British Columbia,7:32.867,,"Bailey, H.",,,,,,,,,
2018,3,,Womens Collegiate Varsity DII/III/Club,1,1,Grand Valley State University Rowing Club,7:26.025,,"Platz, F.",,,,,,,,,
2018,3,,Womens Collegiate Varsity DII/III/Club,1,2,"University of California, Davis Mens Crew",7:38.086,,"Manginelli, J.",,,,,,,,,
2018,3,,Womens Collegiate Varsity DII/III/Club,1,3,University of Calgary Rowing Club,7:55.896,,"Solecki, L.",,,,,,,,,
2018,3,,Womens Collegiate Varsity DII/III/Club,1,4,Cal State Long Beach Crew,8:13.819,,"Carpentier, S.",,,,,,,,,
2018,3,,Womens Collegiate Varsity DII/III/Club,2,1,"University of California, San Diego",7:16.042,,"Campbell, B.",,,,,,,,,
2018,3,,Womens Collegiate Varsity DII/III/Club,2,2,Purdue Crew,7:17.643,,"Watts, A.",,,,,,,,,
2018,3,,Womens Collegiate Varsity DII/III/Club,2,3,Seattle Pacific University Crew,7:21.137,,"Remley, C.",,,,,,,,,
2018,3,,Womens Collegiate Varsity DII/III/Club,2,4,University of California Berkeley Ltwt Rowing,7:29.354,,"Lai, S.",,,,,,,,,
2018,11,,Mens Collegiate Varsity Copley Cup Invitational,D1 A,1,"University of California, Berkeley",5:47.668,,"A - Sutton, J.",,,,,,,,,
2018,11,,Mens Collegiate Varsity Copley Cup Invitational,D1 A,2,U.S. Naval Academy Men's Crew,6:16.461,,"A - Merkel, J.",,,,,,,,,
2018,11,,Mens Collegiate Varsity Copley Cup Invitational,D1 B,1,"Yale University Crew -Women, Lightweight Men, Heav",5:59.426,,"A - Carnegie, S.",,,,,,,,,
2018,11,,Mens Collegiate Varsity Copley Cup Invitational,D1 B,2,Stanford University Men's Crew,6:13.393,,"A - Reitz, A.",,,,,,,,,
2018,11,,Mens Collegiate Varsity Copley Cup Invitational,D1 C,1,Northeastern University,5:54.445,,"A - Lerwick, W.",,,,,,,,,
2018,11,,Mens Collegiate Varsity Copley Cup Invitational,D1 C,2,University of Pennsylvania Crew,6:07.403,,"A - Purtill, W.",,,,,,,,,
2018,1,,Womens Collegiate Varsity Jessop-Whittier Cup Invitational,1,1,"University of California, Berkeley",6:31.627,,"payne, S.",,,,,,,,,
2018,1,,Womens Collegiate Varsity Jessop-Whittier Cup Invitational,1,2,University of Victoria Rowing Club,6:41.110,,"Filmer, C.",,,,,,,,,
2018,1,,Womens Collegiate Varsity Jessop-Whittier Cup Invitational,1,3,Washington State University Womens Rowing,6:43.710,,"Gutfleisch, L.",,,,,,,,,
2018,1,,Womens Collegiate Varsity Jessop-Whittier Cup Invitational,1,4,Gonzaga University Crew,6:59.429,,"English, L.",,,,,,,,,
2018,1,,Womens Collegiate Varsity Jessop-Whittier Cup Invitational,1,5,The University of Oklahoma,7:01.790,,"Pergouli, M.",,,,,,,,,
2018,1,,Womens Collegiate Varsity Jessop-Whittier Cup Invitational,1,6,University of California - Santa Barbara,7:13.596,,"HENSON, R.",,,,,,,,,
