Event #,Trophy,Event,Heat,Place,Boat,Time
1,,"Womens Varsity High School 4x Heat 1 1­4 to F1, Remainder to F2 (07:20:00) Official",,1,"Redwood Scullers A (Mead, H.)",07:32.511
1,,"Womens Varsity High School 4x Heat 1 1­4 to F1, Remainder to F2 (07:20:00) Official",,2,New Canaan Crew A (Josephine Williams),07:51.003
1,,"Womens Varsity High School 4x Heat 1 1­4 to F1, Remainder to F2 (07:20:00) Official",,3,"RowLA (Trendel, A.)",08:02.961
1,,"Womens Varsity High School 4x Heat 1 1­4 to F1, Remainder to F2 (07:20:00) Official",,4,"Redwood Scullers C (Duan, C.)",08:06.127
1,,"Womens Varsity High School 4x Heat 1 1­4 to F1, Remainder to F2 (07:20:00) Official",,5,"Lake Las Vegas Rowing Club (Schulz, M.)",08:17.797
1,,"Womens Varsity High School 4x Heat 1 1­4 to F1, Remainder to F2 (07:20:00) Official",,6,"City Island B (Fremont-Smith, M.)",08:35.823
1,,"Womens Varsity High School 4x Heat 1 1­4 to F1, Remainder to F2 (07:20:00) Official",,,,
2,,Womens Varsity High School 4x Heat 2 (07:28:00) Official,,1,"Redwood Scullers B (Schwartz, A.)",07:48.726
2,,Womens Varsity High School 4x Heat 2 (07:28:00) Official,,2,"Newport Sea Base Rowing (Anderson, K.)",07:49.330
2,,Womens Varsity High School 4x Heat 2 (07:28:00) Official,,3,"Artemis (Gallagher, M.)",07:51.936
2,,Womens Varsity High School 4x Heat 2 (07:28:00) Official,,4,"City Island A (Kehm, A.)",07:59.604
2,,Womens Varsity High School 4x Heat 2 (07:28:00) Official,,5,Texas Rowing Center (Raiya Myren),08:05.644
2,,Womens Varsity High School 4x Heat 2 (07:28:00) Official,,6,"New Canaan Crew B (Moor, O.)",08:07.622
2,,Womens Varsity High School 4x Heat 2 (07:28:00) Official,,7,"ZLAC (rower, C.)",08:11.926
2,,Womens Varsity High School 4x Heat 2 (07:28:00) Official,,8,"Utah (Koutrouba, S.)",08:12.882
2,,Womens Varsity High School 4x Heat 2 (07:28:00) Official,,,,
