Year,Event #,Trophy,Event,Heat,Place,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
2023,1,,Mixed Masters Club 8+,,1,Wimbleball,06:45.6,,"Alexander, R.",,,,,,,
2023,1,,Mixed Masters Club 8+,,2,San Diego RC A,06:51.1,,"Peszek, T.",,,,,,,
2023,1,,Mixed Masters Club 8+,,3,Club Nautico De San Juan,06:55.7,,"Tucker, S.",,,,,,,
2023,1,,Mixed Masters Club 8+,,4,Long Beach,08:08.4,,"Tindall, A.",,,,,,,
2023,1,,Mixed Masters Club 8+,,5,San Diego RC B,08:13.2,,"Gjerset, S.",,,,,,,
2023,1,,Mixed Masters Club 8+,,6,Anchorage,08:14.8,,"Andresen, S.",,,,,,,
2023,2,,Womens Faster Masters Club Intermediate 8+,,1,East Bay,09:00.1,,"Gosselar, J.",,,,,,,
2023,3,,Mixed Masters Club Novice 8+,,1,San Diego RC,08:09.7,,,,,,,,,
2023,3,,Mixed Masters Club Novice 8+,,2,East Bay,09:10.7,,"Ward, P.",,,,,,,
2023,4,,Womens Masters D 8+ (50-54) Cup,,1,Endeavor Racing Alliance,07:31.8,,"O'Brien, W.",,,,,,,
2023,4,,Womens Masters D 8+ (50-54) Cup,,2,Toronto Sculling,07:34.1,,,,,,,,,
2023,5,,Mens Masters D 8+ (50-54) Founders Trophy,,1,Ex Nemo,06:40.5,,"Peterson, N.",,,,,,,
2023,5,,Mens Masters D 8+ (50-54) Founders Trophy,,2,North Dakota,07:02.3,,"Kusurin, A.",,,,,,,
2023,5,,Mens Masters D 8+ (50-54) Founders Trophy,,3,Unaff. (CAN),07:08.1,,"Hamilton, K.",,,,,,,
2023,5,,Mens Masters D 8+ (50-54) Founders Trophy,,4,East Bay,07:26.9,,"Kempf, C.",,,,,,,
2023,6,,Mens Masters Club 4x,,1,Wyandotte,06:54.8,,"Delsordo, A.",,,,,,,
2023,6,,Mens Masters Club 4x,,2,San Diego RC C,07:03.1,,"Aparicio, B.",,,,,,,
2023,6,,Mens Masters Club 4x,,3,Pacific A,07:08.8,,"Caliandro, A.",,,,,,,
2023,6,,Mens Masters Club 4x,,4,BIAC,07:25.6,,"Serrano Cendejas, J.",,,,,,,
2023,6,,Mens Masters Club 4x,,5,Pacific B,08:21.0,,"Kirby, M.",,,,,,,
2023,7,,Mens Masters Club 4x,,1,Texas Rowing Center,06:45.4,,"Borchelt, S.",,,,,,,
2023,7,,Mens Masters Club 4x,,2,San Diego RC A,06:53.4,,"Kapicka, M.",,,,,,,
2023,7,,Mens Masters Club 4x,,3,Cambridge B,06:54.8,,"Packard, A.",,,,,,,
2023,7,,Mens Masters Club 4x,,4,Cambridge A,06:55.4,,"Grant, J.",,,,,,,
2023,7,,Mens Masters Club 4x,,5,Anchorage,07:41.6,,"Clark, J.",,,,,,,
2023,7,,Mens Masters Club 4x,,6,Newport Sea Base,07:51.2,,"Koop, R.",,,,,,,
2023,8,,Womens Masters Club 4x,,1,San Diego RC A,07:43.3,,"grant, B.",,,,,,,
2023,8,,Womens Masters Club 4x,,2,Texas Rowing Center,07:43.5,,"Falkenthal, T.",,,,,,,
2023,8,,Womens Masters Club 4x,,3,Lake Washington*,07:51.8,,"Wong, R.",,,,,,,
2023,8,,Womens Masters Club 4x,,4,ZLAC,07:56.3,,"McPherson, M.",,,,,,,
2023,8,,Womens Masters Club 4x,,5,Capital,08:08.8,,"Hollins, R.",,,,,,,
2023,8,,Womens Masters Club 4x,,6,College Club Seattle,08:21.8,,"Roberts, L.",,,,,,,
2023,9,,Womens Masters Club 4x,,1,Endeavor Racing Alliance,07:35.9,,"Kline, S.",,,,,,,
2023,9,,Womens Masters Club 4x,,2,San Diego RC B,07:35.9,,"Collens, J.",,,,,,,
2023,9,,Womens Masters Club 4x,,3,BIAC*,07:52.7,,"Wienbar, S.",,,,,,,
2023,9,,Womens Masters Club 4x,,4,Cambridge,08:20.8,,"Turri Vise, R.",,,,,,,
2023,9,,Womens Masters Club 4x,,5,Anchorage,08:42.1,,"Curran, J.",,,,,,,
2023,9,,Womens Masters Club 4x,,6,Channel Islands,08:57.8,,"Kiss, B.",,,,,,,
2023,9,,Womens Masters Club 4x,,7,Otsego Area Rowing*,09:17.4,,"Thies, A.",,,,,,,
2023,10,,"Men's Masters F, G",,1,North DakotaSan DiegoLos Angeles (F),07:09.7,,"Krum, S.",,,,,,,
2023,10,,"Men's Masters F, G",,2,Kent Mitchell (G),07:32.0,,"Ives, E.",,,,,,,
2023,10,,"Men's Masters F, G",,3,S.A.C.Long BeachLake WashingtonRocky Mountain - Lake DilBoulder (F),07:47.5,,,,,,,,,
2023,11,,"Women's Masters F, G, H, I",,1,S.A.C.WimbleballLong Beach (G),08:25.7,,"Malacrida, G.",,,,,,,
2023,11,,"Women's Masters F, G, H, I",,2,Endeavor Racing Alliance (F),08:32.9,,"Friel, H.",,,,,,,
2023,11,,"Women's Masters F, G, H, I",,3,Portland BC (G),08:53.9,,"Linse, J.",,,,,,,
2023,11,,"Women's Masters F, G, H, I",,4,San Diego RC G),09:29.4,,"Gillis, P.",,,,,,,
2023,12,,Mens 8+ Alumni Cup,,1,Club Nautico De San Juan,06:35.8,,"de Jong, J.",,,,,,,
2023,12,,Mens 8+ Alumni Cup,,2,Isla Vista A,06:37.6,,,,,,,,,
2023,12,,Mens 8+ Alumni Cup,,3,Isla Vista B,07:29.0,,,,,,,,,
2023,13,,Womens 8+ Alumni Susan Francia Trophy,,1,UC Berkeley - Women Alum,07:15.9,,"Wesselmann, C.",,,,,,,
2023,13,,Womens 8+ Alumni Susan Francia Trophy,,2,USC Alumni,07:20.6,,"Bene, D.",,,,,,,
2023,13,,Womens 8+ Alumni Susan Francia Trophy,,3,Unaffiliated (AFG),07:29.6,,,,,,,,,
2023,13,,Womens 8+ Alumni Susan Francia Trophy,,4,San Diego St,,,,,,,,,,
2023,14,,Womens Masters A 8+ (27-35) Duke Robinson Memorial Cup,,1,Endeavor Racing Alliance,07:24.9,,"McCormick, E.",,,,,,,
2023,14,,Womens Masters A 8+ (27-35) Duke Robinson Memorial Cup,,2,San Diego RC,07:29.3,,"McKerrihan, K.",,,,,,,
2023,14,,Womens Masters A 8+ (27-35) Duke Robinson Memorial Cup,,3,San Diego,07:50.4,,"Palmer, K.",,,,,,,
2023,15,,Mens Masters A 8+ (27-35) Jack Buchanan Memorial Trophy,,1,Club Nautico De San Juan,06:36.5,,,,,,,,,
