Year,Event,Trophy,Event Descriptions,Race Label,Finish Place,Club Name,Adj Time,Cox,Bow,2,3,4,5,6,7,Stroke,Coach,Seconds
2025,34,Karen Plumleigh Cortney Memorial Cup,Women's Collegiate Varsity 4+ Karen Plumleigh Cortney Cup,Final A,8,University of San Diego,7:56.161,"Pacheco, Ayla","Jones, Michaela","Gulbranson, Isabella","Challis, Chloe",,,,,"Carter, Jessica",,476.161
2025,39,,Women's Collegiate B 4+ ,Final A,8,University of San Diego,8:14.681,"Karanian, Elle","Kramer, Grace","Graves, Gavriella","Gillespie, Leilani",,,,,"Church, Ruby",,494.681
2025,30,Jessop-Whittier Cup,Women's Varsity 8+ Jessop-Whittier/Cal  Cup Collegiate Invitational,Final A,6,University of Notre Dame Women's Rowing,6:41.951,"Wallis, Annmarie","Crook, Lily","Newell, Margaret","Hopsicker, Emma","FRENCH, COURTNEY","Steinki, Christina","Haney, Amelia","Gamble, Neev","Hoefer, Natalie",,401.951
2025,35,Jackie Ann Stitt Hungness Memorial Cup,Women's Collegiate 2V 8+ Jackie Ann Stitt Hungness Trophy,Final A,6,University of Notre Dame Women's Rowing,6:55.291,"Collins, Grace","Fister, Maya","Quinn, Scarlett","Clavi, Julia","Conway, Grayson","Barth, Nora","carroll, michaela","Hackett, Molly","Johnson, Caroline",,415.291
2025,7,,Men's Masters Club 4X,Final,7,Lake Merritt Rowing Club,7:11.285,,"Golab, Alden","Dekoninck, Kilian","Hillyard, Chris",,,,,"Gallagher, Richard","Aiello, Alexis",431.285
2025,71,ZLAC Rowing Club Cup,Women's Youth B 8+ ZLAC Rowing Club Cup,Final A,7,San Diego Rowing Club,7:32.547,"Ahadian, Nora","Thompson, Amira","Hou, Maggie","Bigler, Gabriella","Bouman, Mahaila","Berk, Cameron","Page, Jacqueline","Rowley, Kate","Gonor, Presley",,452.547
2025,44,Thalia Kelly Considine Cup,Women's Masters Club Champ 8+ Thalia Kelly Considine Cup,Final A,8,Los Gatos Rowing Club,7:54.694,"O'Connor, S. A.","Wespi, Rita","Reekie, Shirley","Lopez, Rose","Hayes, Mary","Martin, Kate","Buendia, Eby","Spaulding, Tiffany","Timpe, Amy","Debellis, Rudy",474.694
2025,43,Coronado Cays Realty Cup,Men's Masters Club Champ 8+ Coronado Cays Realty Cup,Final A,7,Newport Aquatic Center,6:21.522,"Bye, Kelly","McCarthy, Ryan","Gallagher, Jackson","Oatman, Dane","Freidenrich, Theodore","Phillips, Trevor","Zilli, Harrison","Cowles, Caleb","Merkel, Joseph",,381.522
2025,67,,Women's Youth 8+,Final A,7,Norcal Crew,7:11.909,"Riney, Elise","Fathers, Liberty","Wu, Hannah","Friedman, Katie","Richwien, Anna","Ciechanover, Ana","Eglington, Aidyn","Farano, Vienna","Zweig, Sadie","SIMON, LAURA",431.909
2025,8,,Women's Masters Club 4X,Final A,5,Chinook Performance Racing,7:40.532,,"Moffat, Jennifer","Lamb, Maureen","Cassella, Elissa",,,,,"Goforth, Kimberly",,460.532
